[0, 9, 9, 28, 30, 70, 80, 81, 95, 96, 114, 133, 138, 169, 208, 220, 222, 224, 236, 286, 297, 301, 316, 317, 327, 328, 377, 379, 395, 397, 398, 401, 410, 425, 429, 442, 444, 459, 460, 460, 463, 464, 501, 506, 512, 513, 529, 532, 536, 538, 539, 543, 549, 554, 558, 565, 579, 606, 614, 615, 704, 712, 718, 718, 728, 744, 767, 769, 772, 779, 779, 784, 801, 804, 817, 819, 840, 842, 876, 876, 910, 923, 926, 935, 950, 953, 954, 958, 958, 965, 968, 969, 974, 977, 979, 987, 998, 998, 999, 1000]
[0, 14, 16, 18, 26, 35, 38, 53, 76, 97, 112, 130, 148, 160, 161, 168, 169, 177, 184, 186, 193, 218, 230, 234, 234, 236, 239, 247, 249, 255, 262, 263, 266, 266, 280, 281, 284, 292, 296, 298, 301, 306, 337, 349, 388, 409, 420, 445, 446, 449, 449, 467, 474, 477, 479, 480, 489, 496, 496, 514, 515, 515, 534, 543, 555, 565, 597, 613, 631, 648, 655, 664, 679, 690, 690, 717, 720, 727, 729, 736, 739, 747, 748, 754, 757, 788, 800, 811, 813, 861, 875, 887, 890, 911, 916, 921, 936, 949, 951, 971]
[0, 18, 23, 30, 45, 49, 50, 53, 58, 66, 71, 71, 78, 121, 122, 128, 130, 133, 170, 174, 177, 192, 199, 214, 239, 247, 277, 284, 291, 292, 294, 316, 330, 337, 348, 360, 374, 380, 385, 392, 403, 409, 412, 424, 463, 478, 499, 500, 503, 513, 519, 525, 525, 547, 547, 549, 556, 557, 563, 567, 573, 581, 595, 596, 599, 600, 609, 629, 629, 642, 667, 690, 690, 699, 716, 717, 718, 722, 726, 731, 757, 766, 830, 847, 861, 865, 875, 894, 908, 917, 922, 928, 941, 950, 951, 957, 960, 969, 979, 986]
[2, 5, 13, 22, 27, 29, 36, 37, 44, 49, 67, 100, 117, 119, 122, 130, 132, 134, 138, 148, 152, 171, 171, 173, 181, 213, 221, 222, 226, 234, 235, 242, 243, 249, 260, 281, 288, 292, 300, 313, 317, 321, 324, 333, 342, 343, 350, 356, 365, 389, 398, 406, 427, 439, 455, 472, 482, 491, 538, 543, 559, 566, 587, 588, 610, 610, 623, 631, 633, 660, 661, 664, 682, 689, 697, 708, 735, 736, 739, 760, 771, 781, 790, 809, 840, 860, 866, 871, 880, 886, 906, 917, 930, 937, 950, 956, 963, 973, 982, 985]
[4, 27, 28, 36, 38, 49, 93, 114, 120, 124, 126, 142, 171, 172, 177, 178, 218, 228, 248, 248, 248, 250, 253, 258, 294, 307, 311, 316, 320, 322, 329, 361, 381, 386, 401, 408, 415, 422, 433, 446, 452, 469, 472, 472, 485, 488, 491, 506, 507, 520, 521, 532, 540, 547, 567, 567, 567, 574, 581, 581, 599, 599, 620, 642, 647, 667, 673, 690, 704, 707, 708, 720, 721, 721, 728, 736, 737, 741, 755, 763, 785, 794, 801, 805, 808, 829, 834, 851, 857, 864, 892, 895, 900, 932, 934, 936, 971, 977, 978, 993]
[9, 56, 62, 62, 80, 87, 113, 121, 142, 148, 150, 160, 165, 169, 186, 188, 205, 219, 221, 236, 238, 250, 265, 268, 275, 275, 277, 290, 290, 302, 316, 326, 352, 352, 357, 358, 360, 362, 366, 381, 385, 390, 393, 394, 406, 410, 423, 423, 425, 446, 476, 522, 533, 551, 552, 573, 581, 583, 601, 613, 617, 627, 647, 654, 664, 675, 682, 686, 691, 698, 706, 712, 713, 718, 719, 724, 735, 737, 745, 746, 753, 764, 815, 820, 820, 822, 823, 828, 834, 835, 854, 887, 887, 894, 955, 968, 977, 982, 989, 1000]
[10, 23, 47, 67, 79, 81, 92, 110, 123, 124, 133, 138, 138, 140, 150, 159, 208, 219, 221, 241, 258, 303, 303, 304, 304, 308, 310, 322, 339, 342, 346, 347, 348, 349, 356, 385, 404, 424, 446, 467, 473, 476, 484, 491, 495, 500, 506, 530, 578, 586, 599, 604, 612, 634, 643, 648, 667, 670, 676, 701, 703, 704, 727, 738, 740, 743, 747, 755, 756, 761, 765, 773, 780, 791, 806, 809, 824, 828, 844, 851, 855, 868, 868, 885, 888, 893, 899, 907, 922, 923, 924, 935, 942, 968, 970, 971, 976, 979, 989, 995]
[16, 20, 29, 30, 53, 64, 75, 79, 96, 106, 122, 145, 146, 147, 155, 163, 181, 215, 220, 274, 287, 302, 303, 303, 305, 308, 316, 319, 333, 334, 357, 366, 393, 395, 395, 396, 411, 429, 430, 442, 457, 466, 472, 474, 478, 480, 488, 501, 508, 515, 523, 528, 570, 573, 602, 613, 630, 649, 653, 657, 663, 672, 673, 676, 677, 684, 685, 716, 723, 737, 748, 759, 765, 767, 769, 774, 786, 808, 825, 826, 837, 841, 842, 842, 844, 853, 869, 874, 888, 893, 911, 914, 948, 964, 966, 983, 983, 989, 990, 998]
[19, 41, 43, 59, 84, 103, 115, 150, 160, 176, 177, 183, 194, 200, 204, 221, 230, 233, 235, 239, 251, 255, 266, 276, 300, 330, 339, 344, 352, 353, 355, 360, 373, 388, 408, 469, 478, 487, 512, 526, 531, 541, 541, 550, 555, 559, 580, 594, 595, 602, 605, 612, 612, 620, 636, 636, 638, 640, 644, 650, 653, 657, 669, 675, 679, 684, 700, 701, 705, 732, 745, 747, 751, 777, 778, 780, 795, 797, 810, 811, 826, 849, 857, 859, 863, 871, 882, 894, 900, 905, 907, 926, 942, 948, 955, 958, 963, 968, 976, 998]
[22, 32, 34, 36, 50, 50, 66, 75, 90, 109, 109, 111, 125, 128, 132, 160, 166, 188, 192, 204, 214, 240, 244, 245, 279, 297, 310, 311, 316, 324, 337, 338, 344, 351, 353, 393, 409, 414, 422, 434, 444, 453, 477, 497, 498, 502, 521, 524, 524, 539, 555, 571, 574, 582, 589, 590, 623, 642, 653, 669, 677, 689, 705, 709, 711, 712, 737, 744, 744, 755, 770, 778, 795, 805, 827, 833, 836, 847, 858, 861, 876, 881, 883, 888, 888, 900, 914, 916, 937, 948, 949, 960, 972, 975, 977, 977, 981, 989, 997, 998]
